airport_code,airport_name,country_code,region_code,latitude,longitude,elevation_feet,continent
DNI,Wad Medani Airport,PH,SD-07,14.6602787,120.989116,2984,AF
ERV,Kerrville Municipal Louis Schreiner Field,PH,US-TX,15.3097361,120.8940375,8378,NA
0,São Gabriel Airport,GB,BR-RS,53.10672,-0.687802,1772,SA
KWB,Dewadaru - Kemujan Island,HN,ID-JT,15.9116789,-85.9534465,9863,AS
PIH,Pocatello Regional Airport,MN,US-ID,47.2495437,107.5408308,18925,NA
ZHP,High Prairie Airport,MN,CA-AB,48.5686975,113.2344326,8599,NA
LAL,Lakeland Linder International Airport,ID,US-FL,-8.2439141,114.3727687,18337,NA
WUS,Nanping Wuyishan Airport,PH,CN-35,7.2992002,125.157404,19188,AS
DSK,Dera Ismael Khan Airport,CN,PK-NW,37.22351,120.560079,14884,AS
PPG,Pago Pago International Airport,ID,AS-U-A,-7.6378396,107.728092,18113,OC
ONT,Ontario International Airport,PH,US-CA,14.7342524,121.0702642,13717,NA
CDU,Camden Airport,JP,AU-NSW,37.916221,139.0673437,379,OC
YOJ,High Level Airport,RU,CA-AB,53.4004864,83.9124232,15766,NA
ACP,Sahand Airport,PL,IR-01,52.5094874,16.7474972,17220,AS
KSE,Kasese Airport,EG,UG-406,30.0444196,31.2357116,10883,AF
DNZ,Çardak Airport,SE,TR-20,57.6959194,11.8724097,15188,AS
LCV,Lucca-Tassignano Airport,CR,IT-52,10.098232,-84.405668,11650,EU
TDV,Samangoky Airport,US,MG-U,32.56,-85,17285,AF
YKT,Klemtu Water Aerodrome,CN,CA-BC,28.739865,106.720976,6488,NA
ILP,Île des Pins Airport,AL,NC-U-A,40.9279942,19.9481973,14279,OC
MFI,Marshfield Municipal Airport,DE,US-WI,52.5496772,13.3643415,9875,NA
PUC,Carbon County Regional/Buck Davis Field,PT,US-UT,38.3884463,-8.1572713,14769,NA
LGL,Long Lellang Airport,CN,MY-13,26.022703,119.602109,1193,AS
OUG,Ouahigouya Airport,RU,BF-YAT,69.692947,170.399612,19156,AF
NIO,Nioki Airport,BR,CD-BN,-23.3969682,-46.3204265,17006,AF
RSA,Santa Rosa Airport,RU,AR-L,44.164709,38.9989611,4676,SA
SSE,Solapur Airport,CN,IN-MM,22.676245,113.418215,12227,AS
CIO,Teniente Col Carmelo Peralta Airport,SD,PY-1,14.5748,33.3373,17800,SA
BCN,Barcelona International Airport,IE,ES-CT,54.11215,-9.151825,10533,EU
DRF,Drift River Airport,PT,US-AK,41.4850622,-7.9607378,6019,NA
KEZ,Kelani-Peliyagoda Seaplane Base,CN,LK-1,22.826877,107.840624,13394,AS
CGG,Casiguran Airport,RU,PH-AUR,54.1491581,91.8814443,11494,AS
NAG,Dr. Babasaheb Ambedkar International Airport,CN,IN-MM,30.352893,105.204609,8814,AS
MXR,Myrhorod Air Base,BY,UA-53,53.7852624,27.6290067,362,EU
CIO,Teniente Col Carmelo Peralta Airport,CM,PY-1,4.9741169,9.9353318,1515,SA
BJC,Rocky Mountain Metropolitan Airport,PE,US-CO,-12.0463731,-77.042754,13040,NA
PNL,Pantelleria Airport,CN,IT-82,27.522725,112.507849,689,EU
IQA,Al Asad Air Base,ID,IQ-AN,-6.5912415,105.9053689,705,AS
CPX,Benjamin Rivera Noriega Airport,CN,PR-U-A,38.021567,114.847075,14993,NA
OSF,Ostafyevo International Airport,CN,RU-MOS,31.2971634,121.4870071,10780,EU
AMD,Sardar Vallabhbhai Patel International Airport,JP,IN-GJ,35.8504632,140.3548218,5700,AS
DLL,Dillon County Airport,CA,US-SC,43.6505222,-79.3990401,12750,NA
APZ,Zapala Airport,ZA,AR-Q,-26.0880026,28.1444516,6091,SA
YPD,Parry Sound Area Municipal Airport,AL,CA-ON,41.3245904,19.4564686,12379,NA
YPH,Inukjuak Airport,PH,CA-QC,8.9800511,126.2545687,17807,NA
TNV,Tabuaeran Island Airport,DO,KI-L,19.1168606,-70.6097821,15706,OC
BUI,Bokondini Airport,PH,ID-PA,17.1056791,120.4557309,13682,AS
MPT,Maliana airport,US,ID-NT,39.67,-86.19,15727,AS
YEK,Arviat Airport,PE,CA-NU,-13.48804,-72.4493789,11441,NA
GVA,Geneva Cointrin International Airport,ID,CH-GE,-7.5996213,111.1116153,16425,EU
